id,no_sapi,rpf,perilaku,ib_ke,jarak_ib,laktasi,ib,pkb,anggota_id,created_at,updated_at
30, /III/AL,3,1,2,46,2,2012-05-23,2012-08-23,739,2012-05-23 17:30:50.000000,2012-08-23 17:30:50.000000
31, /III/AL,8,5,2,46,4,2013-01-22,2013-04-24,746,2013-01-22 17:30:50.000000,2013-04-24 17:30:50.000000
32, /III/AN,3,4,2,52,1,2013-09-30,2013-12-31,265,2013-09-30 17:30:50.000000,2013-12-31 17:30:50.000000
33, /III/AO,4,3,2,67,5,2013-05-22,2013-08-22,968,2013-05-22 17:30:50.000000,2013-08-22 17:30:50.000000
34, /III/AO,9,1,2,67,3,2014-07-01,2014-10-01,1487,2014-07-01 17:30:50.000000,2014-10-01 17:30:50.000000
35, /III/AO,2,5,2,67,3,2015-06-22,2015-09-22,1315,2015-06-22 17:30:50.000000,2015-09-22 17:30:50.000000
36, /III/AO,10,1,2,67,1,2015-09-02,2015-12-03,368,2015-09-02 17:30:50.000000,2015-12-03 17:30:50.000000
37, /III/AO,6,2,2,82,1,2013-06-17,2013-09-17,1256,2013-06-17 17:30:50.000000,2013-09-17 17:30:50.000000
38, /III/AO,5,5,2,82,4,2015-08-17,2015-11-17,507,2015-08-17 17:30:50.000000,2015-11-17 17:30:50.000000
39, /III/AP,10,3,2,102,5,2014-04-22,2014-07-23,409,2014-04-22 17:30:50.000000,2014-07-23 17:30:50.000000
40, /III/AP,7,5,2,102,5,2014-04-22,2014-07-23,1283,2014-04-22 17:30:50.000000,2014-07-23 17:30:50.000000
41, /III/AP,6,5,2,102,4,2014-06-25,2014-09-25,586,2014-06-25 17:30:50.000000,2014-09-25 17:30:50.000000
42, /III/AP,2,1,2,102,3,2015-07-29,2015-10-29,1176,2015-07-29 17:30:50.000000,2015-10-29 17:30:50.000000
43, /III/AP,1,3,2,102,5,2015-07-26,2015-10-26,1463,2015-07-26 17:30:50.000000,2015-10-26 17:30:50.000000
44, /III/AP,1,3,4,48,5,2015-07-25,2015-10-25,1269,2015-07-25 17:30:50.000000,2015-10-25 17:30:50.000000
45, /IV/AL,3,2,2,33,1,2011-04-11,2011-07-12,1397,2011-04-11 17:30:50.000000,2011-07-12 17:30:50.000000
46, /IV/AM,4,3,3,33,4,2014-06-21,2014-09-21,754,2014-06-21 17:30:50.000000,2014-09-21 17:30:50.000000
47, /IV/AO,8,4,3,21,3,2014-12-27,2015-03-29,746,2014-12-27 17:30:50.000000,2015-03-29 17:30:50.000000
48, /IV/AO,7,4,2,85,4,2013-06-25,2013-09-25,1225,2013-06-25 17:30:50.000000,2013-09-25 17:30:50.000000
49, /IV/AO,1,2,2,85,2,2014-08-10,2014-11-10,497,2014-08-10 17:30:50.000000,2014-11-10 17:30:50.000000
50, /IV/AQ,7,5,2,32,1,2015-05-18,2015-08-18,1309,2015-05-18 17:30:50.000000,2015-08-18 17:30:50.000000
51, /IV/AQ,3,1,2,32,1,2015-05-20,2015-08-20,426,2015-05-20 17:30:50.000000,2015-08-20 17:30:50.000000
52, /IV/AQ,3,5,2,32,2,2015-05-25,2015-08-25,1154,2015-05-25 17:30:50.000000,2015-08-25 17:30:50.000000
53, /IV/AQ,10,5,2,32,1,2015-05-27,2015-08-27,764,2015-05-27 17:30:50.000000,2015-08-27 17:30:50.000000
54, /IX/AC,6,5,2,22,1,2012-04-02,2012-07-03,242,2012-04-02 17:30:50.000000,2012-07-03 17:30:50.000000
55, /IX/AE,3,2,2,51,1,2012-04-30,2012-07-31,244,2012-04-30 17:30:50.000000,2012-07-31 17:30:50.000000
56, /IX/AF,2,3,2,21,4,2011-10-29,2012-01-29,225,2011-10-29 17:30:50.000000,2012-01-29 17:30:50.000000
57, /IX/AK,4,1,3,22,3,2010-09-13,2010-12-14,1488,2010-09-13 17:30:50.000000,2010-12-14 17:30:50.000000
58, /IX/AM,8,3,2,22,5,2014-08-24,2014-11-24,1358,2014-08-24 17:30:50.000000,2014-11-24 17:30:50.000000
59, /IX/AN,3,1,2,257,1,2015-09-22,2015-12-23,1294,2015-09-22 17:30:50.000000,2015-12-23 17:30:50.000000
60, /IX/AO,10,2,2,200,5,2015-07-25,2015-10-25,1264,2015-07-25 17:30:50.000000,2015-10-25 17:30:50.000000
61, /IX/AP,10,3,2,12,2,2014-09-24,2014-12-25,1258,2014-09-24 17:30:50.000000,2014-12-25 17:30:50.000000
62, /IX/AP,4,5,2,12,1,2014-10-20,2015-01-20,587,2014-10-20 17:30:50.000000,2015-01-20 17:30:50.000000
63, /IX/AP,10,1,2,79,1,2014-12-10,2015-03-12,553,2014-12-10 17:30:50.000000,2015-03-12 17:30:50.000000
64, /V/AJ,6,4,2,22,5,2014-02-18,2014-05-21,747,2014-02-18 17:30:50.000000,2014-05-21 17:30:50.000000
65, /V/AN,8,4,2,38,2,2012-05-16,2012-08-16,1439,2012-05-16 17:30:50.000000,2012-08-16 17:30:50.000000
66, /V/AN,3,4,2,38,4,2014-12-30,2015-04-01,419,2014-12-30 17:30:50.000000,2015-04-01 17:30:50.000000
67, /V/AN,8,3,3,62,1,2012-07-17,2012-10-17,1439,2012-07-17 17:30:50.000000,2012-10-17 17:30:50.000000
68, /V/AO,2,1,2,19,1,2013-07-18,2013-10-18,1447,2013-07-18 17:30:50.000000,2013-10-18 17:30:50.000000
69, /V/AO,9,2,2,19,3,2015-08-21,2015-11-21,1205,2015-08-21 17:30:50.000000,2015-11-21 17:30:50.000000
70, /V/AO,3,5,2,43,2,2013-06-19,2013-09-19,1464,2013-06-19 17:30:50.000000,2013-09-19 17:30:50.000000
71, /V/AO,3,3,2,43,2,2013-11-22,2014-02-22,1203,2013-11-22 17:30:50.000000,2014-02-22 17:30:50.000000
72, /V/AO,4,4,2,43,2,2014-10-16,2015-01-16,1388,2014-10-16 17:30:50.000000,2015-01-16 17:30:50.000000
73, /VI/AJ,6,4,2,31,3,2011-04-23,2011-07-24,1235,2011-04-23 17:30:50.000000,2011-07-24 17:30:50.000000
74, /VI/AN,7,5,2,31,1,2013-08-24,2013-11-24,709,2013-08-24 17:30:50.000000,2013-11-24 17:30:50.000000
75, /VI/AN,1,4,2,31,1,2013-08-14,2013-11-14,1398,2013-08-14 17:30:50.000000,2013-11-14 17:30:50.000000
76, /VI/AN,9,4,2,31,3,2014-12-29,2015-03-31,1260,2014-12-29 17:30:50.000000,2015-03-31 17:30:50.000000
77, /VI/AO,9,2,2,21,4,2013-07-22,2013-10-22,401,2013-07-22 17:30:50.000000,2013-10-22 17:30:50.000000
78, /VI/AO,1,4,2,21,1,2013-07-17,2013-10-17,184,2013-07-17 17:30:50.000000,2013-10-17 17:30:50.000000
79, /VI/AO,2,2,2,19,2,2013-06-25,2013-09-25,1273,2013-06-25 17:30:50.000000,2013-09-25 17:30:50.000000
80, /VI/AO,5,2,2,19,5,2015-08-14,2015-11-14,1155,2015-08-14 17:30:50.000000,2015-11-14 17:30:50.000000
81, /VI/AP,9,4,2,99,2,2014-06-23,2014-09-23,585,2014-06-23 17:30:50.000000,2014-09-23 17:30:50.000000
82, /VI/AP,8,1,2,99,2,2014-07-25,2014-10-25,405,2014-07-25 17:30:50.000000,2014-10-25 17:30:50.000000
83, /VI/AP,10,3,2,99,5,2014-08-21,2014-11-21,1314,2014-08-21 17:30:50.000000,2014-11-21 17:30:50.000000
84, /VI/AP,3,1,2,99,3,2015-08-06,2015-11-06,432,2015-08-06 17:30:50.000000,2015-11-06 17:30:50.000000
85, /VI/AP,8,2,3,25,5,2014-10-21,2015-01-21,1152,2014-10-21 17:30:50.000000,2015-01-21 17:30:50.000000
86, /VI/AQ,5,4,2,50,4,2015-06-25,2015-09-25,1381,2015-06-25 17:30:50.000000,2015-09-25 17:30:50.000000
87, /VI/AQ,6,4,2,50,5,2015-08-05,2015-11-05,1291,2015-08-05 17:30:50.000000,2015-11-05 17:30:50.000000
88, /VI/AQ,4,2,2,50,4,2015-08-19,2015-11-19,717,2015-08-19 17:30:50.000000,2015-11-19 17:30:50.000000
89, /VII/AI,4,3,2,17,5,2014-12-25,2015-03-27,1276,2014-12-25 17:30:50.000000,2015-03-27 17:30:50.000000
90, /VII/AL,2,5,2,29,3,2011-12-15,2012-03-16,524,2011-12-15 17:30:50.000000,2012-03-16 17:30:50.000000
91, /VII/AL,5,4,2,29,3,2015-01-08,2015-04-10,719,2015-01-08 17:30:50.000000,2015-04-10 17:30:50.000000
92, /VII/AM,8,3,2,59,4,2015-03-24,2015-06-24,1268,2015-03-24 17:30:50.000000,2015-06-24 17:30:50.000000
93, /VII/AO,6,4,3,36,4,2015-08-25,2015-11-25,433,2015-08-25 17:30:50.000000,2015-11-25 17:30:50.000000
94, /VII/AO,8,2,3,36,5,2015-09-17,2015-12-18,1485,2015-09-17 17:30:50.000000,2015-12-18 17:30:50.000000
95, /VII/AQ,5,2,3,21,3,2015-09-19,2015-12-20,1141,2015-09-19 17:30:50.000000,2015-12-20 17:30:50.000000
96, /VIII/AJ,1,2,2,29,4,2012-07-22,2012-10-22,1378,2012-07-22 17:30:50.000000,2012-10-22 17:30:50.000000
97, /VIII/AJ,6,4,2,48,3,2013-09-18,2013-12-19,1377,2013-09-18 17:30:50.000000,2013-12-19 17:30:50.000000
98, /VIII/AL,3,2,2,91,3,2011-09-16,2011-12-17,1090,2011-09-16 17:30:50.000000,2011-12-17 17:30:50.000000
99, /VIII/AN,9,1,2,22,2,2012-09-22,2012-12-23,1506,2012-09-22 17:30:50.000000,2012-12-23 17:30:50.000000
100, /VIII/AN,9,5,2,22,2,2014-06-25,2014-09-25,181,2014-06-25 17:30:50.000000,2014-09-25 17:30:50.000000
101, /VIII/AP,7,3,2,51,3,2014-09-22,2014-12-23,414,2014-09-22 17:30:50.000000,2014-12-23 17:30:50.000000
102, /VIII/AP,9,4,3,64,4,2014-11-20,2015-02-20,1208,2014-11-20 17:30:50.000000,2015-02-20 17:30:50.000000
103, /VIII/AQ,3,2,2,39,1,2015-09-23,2015-12-24,1303,2015-09-23 17:30:50.000000,2015-12-24 17:30:50.000000
104, /VIII/AQ,4,5,2,39,4,2015-09-08,2015-12-09,1243,2015-09-08 17:30:50.000000,2015-12-09 17:30:50.000000
105, /X/AM,7,3,2,75,1,2015-09-22,2015-12-23,435,2015-09-22 17:30:50.000000,2015-12-23 17:30:50.000000
106, /X/AO,6,1,3,92,1,2015-08-19,2015-11-19,508,2015-08-19 17:30:50.000000,2015-11-19 17:30:50.000000
107, /X/AP,2,4,2,49,2,2014-11-25,2015-02-25,366,2014-11-25 17:30:50.000000,2015-02-25 17:30:50.000000
108, /XI/AH,6,4,2,15,4,2013-08-24,2013-11-24,1427,2013-08-24 17:30:50.000000,2013-11-24 17:30:50.000000
109, /XI/AI,6,2,2,41,3,2010-12-21,2011-03-23,911,2010-12-21 17:30:50.000000,2011-03-23 17:30:50.000000
110, /XI/AM,8,3,2,32,1,2011-12-20,2012-03-21,757,2011-12-20 17:30:50.000000,2012-03-21 17:30:50.000000
111, /XI/AO,1,5,2,7,1,2015-07-22,2015-10-22,428,2015-07-22 17:30:50.000000,2015-10-22 17:30:50.000000
112, /XII/AL,1,2,2,26,4,2014-09-20,2014-12-21,374,2014-09-20 17:30:50.000000,2014-12-21 17:30:50.000000
113, /XII/AL,1,3,2,26,1,2015-09-17,2015-12-18,1363,2015-09-17 17:30:50.000000,2015-12-18 17:30:50.000000
114, /XII/AN,8,4,2,20,4,2014-12-27,2015-03-29,1462,2014-12-27 17:30:50.000000,2015-03-29 17:30:50.000000
115, /XII/AN,8,1,2,20,1,2014-07-22,2014-10-22,1173,2014-07-22 17:30:50.000000,2014-10-22 17:30:50.000000
116, /XII/AN,6,3,2,20,4,2014-06-27,2014-09-27,1511,2014-06-27 17:30:50.000000,2014-09-27 17:30:50.000000
117, /XII/AN,5,2,2,20,3,2015-02-25,2015-05-28,422,2015-02-25 17:30:50.000000,2015-05-28 17:30:50.000000
118, /XII/AN,5,4,2,20,4,2015-01-27,2015-04-29,1532,2015-01-27 17:30:50.000000,2015-04-29 17:30:50.000000
119, /XII/AN,7,4,3,50,2,2013-10-22,2014-01-22,753,2013-10-22 17:30:50.000000,2014-01-22 17:30:50.000000
120, /XII/AO,9,5,3,42,5,2014-06-24,2014-09-24,1159,2014-06-24 17:30:50.000000,2014-09-24 17:30:50.000000
121, /XII/K,9,4,2,62,2,2015-06-18,2015-09-18,1482,2015-06-18 17:30:50.000000,2015-09-18 17:30:50.000000
122, /XIIAN,4,5,3,24,4,2013-08-13,2013-11-13,766,2013-08-13 17:30:50.000000,2013-11-13 17:30:50.000000
123, 5/I/AO,9,2,3,23,4,2013-05-24,2013-08-24,1029,2013-05-24 17:30:50.000000,2013-08-24 17:30:50.000000
124, IX/AP,8,1,2,58,3,2014-11-13,2015-02-13,552,2014-11-13 17:30:50.000000,2015-02-13 17:30:50.000000
125, IXAN,3,5,2,79,2,2012-12-22,2013-03-24,1534,2012-12-22 17:30:50.000000,2013-03-24 17:30:50.000000
126,/XI/AN,4,4,2,24,1,2012-12-20,2013-03-22,1489,2012-12-20 17:30:50.000000,2013-03-22 17:30:50.000000
127,001/I/AM,9,5,4,43,3,2013-05-21,2013-08-21,1374,2013-05-21 17:30:50.000000,2013-08-21 17:30:50.000000
128,002/I/AN,8,1,2,24,2,2015-07-13,2015-10-13,859,2015-07-13 17:30:50.000000,2015-10-13 17:30:50.000000
129,002/I/AN,7,2,2,24,4,2015-09-02,2015-12-03,859,2015-09-02 17:30:50.000000,2015-12-03 17:30:50.000000
130,004/I/AL,4,1,2,33,5,2012-04-15,2012-07-16,815,2012-04-15 17:30:50.000000,2012-07-16 17:30:50.000000
131,004/I/AN,4,2,3,19,2,2014-04-25,2014-07-26,860,2014-04-25 17:30:50.000000,2014-07-26 17:30:50.000000
132,004/I/AN,6,2,2,75,2,2013-07-22,2013-10-22,843,2013-07-22 17:30:50.000000,2013-10-22 17:30:50.000000
133,007/I/AI,6,4,2,24,5,2010-12-17,2011-03-19,804,2010-12-17 17:30:50.000000,2011-03-19 17:30:50.000000
134,007/I/AL,7,3,2,31,1,2010-09-08,2010-12-09,634,2010-09-08 17:30:50.000000,2010-12-09 17:30:50.000000
135,008/I/AO,6,1,2,43,3,2014-12-22,2015-03-24,1372,2014-12-22 17:30:50.000000,2015-03-24 17:30:50.000000
136,008/I/AP,3,4,2,19,1,2014-02-24,2014-05-27,180,2014-02-24 17:30:50.000000,2014-05-27 17:30:50.000000
137,01/I/AO,4,2,2,21,2,2013-01-22,2013-04-24,29,2013-01-22 17:30:50.000000,2013-04-24 17:30:50.000000
138,013/I/AH,6,5,3,8,4,2011-10-03,2012-01-03,514,2011-10-03 17:30:50.000000,2012-01-03 17:30:50.000000
139,014/I/AJ,2,3,2,39,4,2010-12-07,2011-03-09,814,2010-12-07 17:30:50.000000,2011-03-09 17:30:50.000000
140,014/I/AK,5,5,3,23,2,2012-09-24,2012-12-25,700,2012-09-24 17:30:50.000000,2012-12-25 17:30:50.000000
141,014/I/AK,4,1,2,48,3,2010-11-18,2011-02-18,630,2010-11-18 17:30:50.000000,2011-02-18 17:30:50.000000
142,014/I/AK,5,2,2,48,3,2012-09-20,2012-12-21,1311,2012-09-20 17:30:50.000000,2012-12-21 17:30:50.000000
143,015/I/AI,3,2,2,23,2,2012-11-01,2013-02-01,536,2012-11-01 17:30:50.000000,2013-02-01 17:30:50.000000
144,016/I/AM,10,4,2,58,3,2013-10-24,2014-01-24,361,2013-10-24 17:30:50.000000,2014-01-24 17:30:50.000000
145,016/I/AN,2,1,2,24,4,2015-07-09,2015-10-09,270,2015-07-09 17:30:50.000000,2015-10-09 17:30:50.000000
146,017/I/AI,10,4,2,21,4,2012-07-17,2012-10-17,248,2012-07-17 17:30:50.000000,2012-10-17 17:30:50.000000
147,017/I/AN,5,5,3,6,2,2013-05-25,2013-08-25,373,2013-05-25 17:30:50.000000,2013-08-25 17:30:50.000000
148,018/I/AF,5,3,2,22,4,2011-04-19,2011-07-20,600,2011-04-19 17:30:50.000000,2011-07-20 17:30:50.000000
149,018/I/AM,10,1,2,20,2,2014-09-23,2014-12-24,772,2014-09-23 17:30:50.000000,2014-12-24 17:30:50.000000
150,019/I/AO,3,1,3,19,2,2014-08-22,2014-11-22,1338,2014-08-22 17:30:50.000000,2014-11-22 17:30:50.000000
151,019/V/AH,2,5,2,83,2,2012-05-12,2012-08-12,596,2012-05-12 17:30:50.000000,2012-08-12 17:30:50.000000
152,02/I/AK,9,3,2,53,1,2012-11-17,2013-02-17,537,2012-11-17 17:30:50.000000,2013-02-17 17:30:50.000000
153,020/I/AN,9,1,3,130,1,2015-07-14,2015-10-14,784,2015-07-14 17:30:50.000000,2015-10-14 17:30:50.000000
154,021/I/AL,9,3,2,55,1,2012-09-21,2012-12-22,1316,2012-09-21 17:30:50.000000,2012-12-22 17:30:50.000000
155,022/I/AJ,2,1,2,48,2,2011-04-17,2011-07-18,836,2011-04-17 17:30:50.000000,2011-07-18 17:30:50.000000
156,024/I/AI,1,3,2,20,3,2014-04-25,2014-07-26,864,2014-04-25 17:30:50.000000,2014-07-26 17:30:50.000000
157,024/I/AM,10,4,2,21,2,2011-04-21,2011-07-22,605,2011-04-21 17:30:50.000000,2011-07-22 17:30:50.000000
158,025/I/AF,6,4,2,41,1,2010-12-03,2011-03-05,817,2010-12-03 17:30:50.000000,2011-03-05 17:30:50.000000
159,027/I/AL,5,2,3,16,4,2012-04-23,2012-07-24,633,2012-04-23 17:30:50.000000,2012-07-24 17:30:50.000000
160,028/II/AN,7,3,2,19,5,2014-04-23,2014-07-24,773,2014-04-23 17:30:50.000000,2014-07-24 17:30:50.000000
161,029/I/AK,9,1,2,72,4,2012-05-24,2012-08-24,838,2012-05-24 17:30:50.000000,2012-08-24 17:30:50.000000
162,029/V/AK,9,1,2,17,2,2014-03-25,2014-06-25,345,2014-03-25 17:30:50.000000,2014-06-25 17:30:50.000000
163,03/I/AJ,7,2,2,59,1,2012-05-03,2012-08-03,245,2012-05-03 17:30:50.000000,2012-08-03 17:30:50.000000
164,031/I/AF,2,2,3,47,1,2011-05-21,2011-08-21,1136,2011-05-21 17:30:50.000000,2011-08-21 17:30:50.000000
165,034/I/AI,10,2,2,51,5,2010-09-07,2010-12-08,805,2010-09-07 17:30:50.000000,2010-12-08 17:30:50.000000
166,034/I/AO,2,1,3,49,4,2014-12-25,2015-03-27,844,2014-12-25 17:30:50.000000,2015-03-27 17:30:50.000000
167,035/I/AD,5,5,2,81,1,2012-10-21,2013-01-21,613,2012-10-21 17:30:50.000000,2013-01-21 17:30:50.000000
168,036/I/AD,10,2,2,50,3,2010-09-20,2010-12-21,628,2010-09-20 17:30:50.000000,2010-12-21 17:30:50.000000
169,036/I/AJ,5,3,2,35,3,2015-02-25,2015-05-28,1367,2015-02-25 17:30:50.000000,2015-05-28 17:30:50.000000
170,036/I/AJ,7,5,2,35,1,2015-06-16,2015-09-16,1368,2015-06-16 17:30:50.000000,2015-09-16 17:30:50.000000
171,036/II/AO,4,4,2,170,4,2015-06-25,2015-09-25,872,2015-06-25 17:30:50.000000,2015-09-25 17:30:50.000000
172,039/II/AO,2,3,2,106,2,2013-08-25,2013-11-25,360,2013-08-25 17:30:50.000000,2013-11-25 17:30:50.000000
173,04/I/AJ,9,1,2,45,5,2012-07-09,2012-10-09,598,2012-07-09 17:30:50.000000,2012-10-09 17:30:50.000000
174,041/I/AI,8,4,2,82,3,2013-08-24,2013-11-24,179,2013-08-24 17:30:50.000000,2013-11-24 17:30:50.000000
175,042/I/AI,9,4,2,23,3,2012-11-19,2013-02-19,819,2012-11-19 17:30:50.000000,2013-02-19 17:30:50.000000
176,044/II/AN,7,3,3,25,1,2012-04-15,2012-07-16,1135,2012-04-15 17:30:50.000000,2012-07-16 17:30:50.000000
177,044/II/AP,2,3,2,34,4,2015-09-21,2015-12-22,1361,2015-09-21 17:30:50.000000,2015-12-22 17:30:50.000000
178,046/I/AJ,2,2,2,63,3,2011-06-24,2011-09-24,820,2011-06-24 17:30:50.000000,2011-09-24 17:30:50.000000
179,046/II/AM,2,2,2,20,2,2013-12-28,2014-03-30,605,2013-12-28 17:30:50.000000,2014-03-30 17:30:50.000000
180,049/I/AK,1,5,2,50,5,2012-08-22,2012-11-22,563,2012-08-22 17:30:50.000000,2012-11-22 17:30:50.000000
181,049/II/AP,8,2,3,40,5,2014-06-20,2014-09-20,712,2014-06-20 17:30:50.000000,2014-09-20 17:30:50.000000
182,05/I/AH,7,4,2,31,5,2012-09-21,2012-12-22,383,2012-09-21 17:30:50.000000,2012-12-22 17:30:50.000000
183,05/I/AL,5,3,2,22,3,2011-12-15,2012-03-16,232,2011-12-15 17:30:50.000000,2012-03-16 17:30:50.000000
184,05/I/AL,1,3,2,22,3,2013-05-23,2013-08-23,1305,2013-05-23 17:30:50.000000,2013-08-23 17:30:50.000000
185,05/I/AL,1,1,3,59,4,2011-10-11,2012-01-11,516,2011-10-11 17:30:50.000000,2012-01-11 17:30:50.000000
186,05/I/AM,4,2,2,24,2,2011-10-17,2012-01-17,517,2011-10-17 17:30:50.000000,2012-01-17 17:30:50.000000
187,050/II/AM,10,3,2,69,3,2011-04-20,2011-07-21,669,2011-04-20 17:30:50.000000,2011-07-21 17:30:50.000000
188,052/II/AM,1,5,2,66,2,2011-04-23,2011-07-24,799,2011-04-23 17:30:50.000000,2011-07-24 17:30:50.000000
189,052/II/AM,3,1,2,66,4,2014-12-27,2015-03-29,1341,2014-12-27 17:30:50.000000,2015-03-29 17:30:50.000000
190,054/II/AJ,7,2,2,21,2,2010-08-26,2010-11-26,801,2010-08-26 17:30:50.000000,2010-11-26 17:30:50.000000
191,054/II/AN,5,2,3,41,4,2014-02-25,2014-05-28,1356,2014-02-25 17:30:50.000000,2014-05-28 17:30:50.000000
192,056/XI/AI,9,1,2,28,5,2010-04-25,2010-07-26,878,2010-04-25 17:30:50.000000,2010-07-26 17:30:50.000000
193,057/I/AI,3,4,4,20,2,2013-06-23,2013-09-23,565,2013-06-23 17:30:50.000000,2013-09-23 17:30:50.000000
194,057/IV/AF,10,2,2,60,3,2012-12-17,2013-03-19,256,2012-12-17 17:30:50.000000,2013-03-19 17:30:50.000000
195,058/I/AK,6,4,4,40,4,2011-04-25,2011-07-26,882,2011-04-25 17:30:50.000000,2011-07-26 17:30:50.000000
196,06/I/AJ,1,4,2,40,3,2013-04-20,2013-07-21,297,2013-04-20 17:30:50.000000,2013-07-21 17:30:50.000000
197,060/I/AK,6,4,2,71,3,2010-09-03,2010-12-04,913,2010-09-03 17:30:50.000000,2010-12-04 17:30:50.000000
198,062/II/AH,1,1,3,12,4,2010-12-23,2011-03-25,836,2010-12-23 17:30:50.000000,2011-03-25 17:30:50.000000
199,062/III/AM,10,4,2,22,5,2013-07-25,2013-10-25,363,2013-07-25 17:30:50.000000,2013-10-25 17:30:50.000000
200,063/I/AE,9,5,2,70,2,2010-11-27,2011-02-27,825,2010-11-27 17:30:50.000000,2011-02-27 17:30:50.000000
201,063/III/AI,10,1,3,56,2,2012-09-18,2012-12-19,572,2012-09-18 17:30:50.000000,2012-12-19 17:30:50.000000
202,064/II/AD,5,5,3,62,2,2010-12-01,2011-03-03,691,2010-12-01 17:30:50.000000,2011-03-03 17:30:50.000000
203,064/IV/AP,8,1,2,17,1,2014-04-24,2014-07-25,716,2014-04-24 17:30:50.000000,2014-07-25 17:30:50.000000
204,066/II/AK,5,5,2,59,1,2010-09-17,2010-12-18,1131,2010-09-17 17:30:50.000000,2010-12-18 17:30:50.000000
205,069/II/AM,7,1,2,49,5,2011-04-20,2011-07-21,893,2011-04-20 17:30:50.000000,2011-07-21 17:30:50.000000
206,069/III/AO,1,3,3,59,2,2013-05-22,2013-08-22,1346,2013-05-22 17:30:50.000000,2013-08-22 17:30:50.000000
